	id	name	popularity	duration_ms	explicit	artists	id_artists	release_date	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	time_signature
560454	1L8oTLiLZxzxh5yrgf0j1w	Danger -Japanese Ver.-	36	247627	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2014-12-24	0.726	0.8370000000000001	1	-4.718999999999999	1	0.0532	0.000656	0.00128	0.10300000000000001	0.408	112.04299999999999	4
560476	3rrqE1KR8LtixLzgtBFcCu	I Need U	58	211653	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-09-16	0.474	0.879	5	-3.168	0	0.0675	0.0228	0.0	0.29	0.713	158.363	4
560478	4IzofHMmUybZv3myzHlZE7	Dope	58	240387	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-09-16	0.629	0.8909999999999999	10	-3.215	0	0.21899999999999997	0.0436	0.0	0.423	0.623	77.003	4
560488	0cRo5ewMI3AjlUaW0htTWv	Boy In Luv	56	230400	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-03-18	0.467	0.9470000000000001	0	-2.28	1	0.344	0.00265	0.0	0.326	0.469	165.956	4
560489	0uiv87qsv7kOjBO8jDbZeh	Run	56	236747	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-11-30	0.5710000000000001	0.877	6	-3.0189999999999997	0	0.0483	0.00158	0.0	0.1	0.506	132.938	4
560493	6Mcw9SkDRCOF71bFO4cv0B	Butterfly	55	238853	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-11-30	0.429	0.775	6	-4.518	1	0.0577	0.0151	0.0	0.124	0.28300000000000003	149.618	4
560498	5F3whjI23ic3OqMepUWIii	Just One Day	54	239827	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-03-18	0.505	0.713	9	-4.71	1	0.376	0.174	0.0	0.405	0.326	190.21099999999998	4
560500	5woBL7INOKn8zYhsN9Bpq8	Danger	53	245107	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-03-18	0.7390000000000001	0.866	1	-3.3789999999999996	1	0.0818	0.000949	0.00037799999999999997	0.321	0.38799999999999996	112.012	4
560501	1EH4ZsNGE01TWEvhDaFAMZ	Silver Spoon	52	233160	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-11-30	0.6509999999999999	0.88	9	-2.8689999999999998	1	0.0649	0.00119	0.0	0.0467	0.544	166.93	4
560503	4aQx3giaLD2sybftDoxI6l	Boyz With Fun	52	245413	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-09-16	0.6990000000000001	0.9590000000000001	11	-2.7089999999999996	1	0.188	0.0761	0.0	0.341	0.779	116.01299999999999	4
560509	2o4ltEUubh8WST2Mh3nDTx	Hold Me Tight	51	274613	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-09-16	0.63	0.726	6	-5.187	1	0.257	0.0517	0.0	0.233	0.353	139.998	4
560545	0aRpO1s7kqad4eGsq0gOTh	War of Hormone	48	265573	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-03-18	0.614	0.992	9	-1.929	1	0.235	0.107	0.0	0.44299999999999995	0.48	97.94	4
560551	7lxncfUV7zPkGukbzx9wID	Autumn Leaves	47	267160	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-11-30	0.617	0.8029999999999999	10	-3.339	0	0.0425	0.0152	0.0	0.152	0.314	105.04	4
560601	39emdsWDNJGcJdgCNpbWO4	Jump	45	237680	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-03-18	0.499	0.971	7	-0.951	0	0.278	0.0367	0.0	0.382	0.7140000000000001	102.006	4
560666	0V0FZFrqbuLz22CE6YRg9m	Whalien 52	43	243227	1	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-11-30	0.58	0.93	1	-2.7	1	0.282	0.10400000000000001	6.1e-06	0.337	0.7190000000000001	90.06299999999999	4
560686	5cEIQPz7ZvIAMNLBHsS1hT	Tomorrow	42	261853	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-03-18	0.32799999999999996	0.882	1	-2.612	0	0.19699999999999998	0.008620000000000001	0.0	0.278	0.6509999999999999	85.35799999999999	5
560691	66arbOPCRYpO3Q67Seprsg	Converse High	42	211053	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-09-16	0.7240000000000001	0.7859999999999999	1	-4.063	1	0.0911	0.066	0.0	0.0478	0.797	98.0	4
560708	1y926ZlSXIXchk01VnH6EG	Ma City	41	256693	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-11-30	0.6709999999999999	0.9690000000000001	6	-2.218	0	0.0879	0.000279	0.0	0.0808	0.8079999999999999	122.012	4
560738	0EIBnUHCGw6dh9YLHOfaJK	Spine Breaker	40	238573	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-03-18	0.68	0.925	0	-1.046	1	0.161	0.15	0.0	0.43200000000000005	0.863	94.001	4
560749	2d2UG9bcBdCcvb3awsIEGr	ホルモン戦争(Japanese Ver.)	40	268400	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-06-17	0.634	0.996	9	-1.1079999999999999	1	0.254	0.161	0.0	0.331	0.401	97.976	4
560761	36BmXxBjwnxQr3Gc0hloLW	Embarrassed	39	241733	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-03-18	0.603	0.9009999999999999	2	-3.033	1	0.27	0.172	0.0	0.369	0.5579999999999999	84.605	4
560764	3LDpCtO9Z8ryQJ78Zp2qWX	Let Me Know	39	256213	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-03-18	0.612	0.8220000000000001	11	-4.835	0	0.0812	0.0112	0.0	0.102	0.165	136.084	4
560780	7IH74sR2rqVJAKywb7E7hb	Moving On	39	294360	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-09-16	0.679	0.9079999999999999	0	-3.2880000000000003	1	0.19399999999999998	0.0122	0.0	0.0865	0.9229999999999999	159.994	4
560823	1ZyRw7RjYJhbr7SsMU7FVA	Outro: Love Is Not Over	38	143560	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-09-16	0.7170000000000001	0.325	2	-8.147	1	0.0607	0.66	0.0	0.134	0.20600000000000002	105.046	4
560849	151kO9WHlgmLz0AFjZ1sTY	Outro: Propose	37	122560	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-03-18	0.58	0.8440000000000001	2	-2.494	1	0.0584	0.466	0.0	0.204	0.504	86.89200000000001	4
560852	0jIgXRAgDqQtGsnfwTfGmb	24/7=Heaven	37	226400	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-03-18	0.644	0.894	2	-2.992	1	0.121	0.0665	0.0	0.341	0.563	96.05799999999999	4
560877	14TD0O0gPHIl1kok1CqblH	Look Here	37	218867	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-03-18	0.856	0.85	7	-4.571000000000001	1	0.0933	0.0327	0.00149	0.0495	0.767	120.012	4
560879	61K7Er09Tf4D17ikccnfTz	Rain	37	265347	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-03-18	0.711	0.847	1	-4.9110000000000005	0	0.12	0.0261	0.0	0.34700000000000003	0.327	89.995	4
560895	4EVl8UQ5ZseT7mQMOzXAAV	Fire	58	203347	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-05-02	0.628	0.718	11	-3.167	1	0.0886	0.0025	0.0	0.145	0.507	100.005	4
560896	6jq9F7GSXFtqKwb1dW2Mxn	Blood Sweat & Tears	58	217027	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-10-10	0.579	0.89	0	-3.553	0	0.111	0.0253	0.0	0.358	0.588	93.03	4
560897	1Z8X01dllP6jsUgAHRHOdW	Save Me	58	196533	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-05-02	0.614	0.797	1	-3.431	1	0.0599	0.0328	0.0	0.0713	0.518	139.966	4
560919	5MmABMNE9bQlzrk3bVR09B	Lie	52	215733	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-10-10	0.547	0.797	6	-5.599	0	0.0339	0.00255	0.0	0.228	0.49	94.074	3
560925	27ZWceiCHYP1SVPDn05OO9	21st Century Girl	52	192600	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-10-10	0.715	0.9009999999999999	2	-3.534	1	0.0634	0.00417	0.0	0.0546	0.8290000000000001	101.023	4
560930	4xTBGxSMgxcpJjMNnIKTl5	Stigma	51	216040	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-10-10	0.444	0.484	0	-5.602	0	0.129	0.156	0.0	0.18	0.37200000000000005	134.093	4
560943	0oanbKJIff7s5e7EhckbI7	Begin	50	229720	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-10-10	0.574	0.851	9	-5.249	0	0.0437	0.00372	0.000122	0.14	0.256	130.93	4
560956	0iHSING1EOD8eoW0twTnPe	BTS Cypher 4	49	294440	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-10-10	0.821	0.79	1	-4.422	0	0.0779	0.0056	9.84e-06	0.0541	0.373	119.965	4
560963	4K5ZG5nvQgu9EdyPKSigKm	FOR YOU	48	284587	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-09-07	0.5479999999999999	0.809	4	-4.533	1	0.185	0.44	0.0	0.102	0.574	165.892	4
560982	18wfNzieLOgddJzOeJhokU	2! 3!	47	272507	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-10-10	0.43	0.929	11	-4.0889999999999995	0	0.249	0.0232	0.0	0.102	0.61	169.74	4
560984	6DYpAAYUHc8Xj1MIFbgJcR	Epilogue : Young Forever	47	171787	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-05-02	0.61	0.8220000000000001	5	-3.8310000000000004	0	0.26	0.0435	0.0	0.122	0.37799999999999995	87.96700000000001	4
560985	3m89n4dEXFD2S14Q2EcygO	Lost	47	241773	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-10-10	0.401	0.836	0	-4.206	1	0.0828	0.000371	0.0	0.0477	0.396	84.74799999999999	4
560989	19A5anJ64b157jUzr9PDMd	Awake	47	226133	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-10-10	0.311	0.504	3	-6.566	1	0.034	0.0225	1.13e-06	0.28800000000000003	0.308	143.205	4
561016	0AIQYEq4LaKB6R9WiwmSsT	Good Day	45	267507	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-09-07	0.611	0.89	6	-3.7110000000000003	1	0.0451	0.0106	0.0	0.075	0.665	94.956	4
561039	6afHEsJZSp4s4JIPOSgB4w	I NEED U(Japanese Ver.)	44	212200	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-09-07	0.49700000000000005	0.866	5	-4.02	0	0.0681	0.0147	0.0	0.161	0.732	158.049	4
561060	0hHw8V6p7p4gIUDdEfnk78	RUN‐Japanese Ver.‐	44	237920	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-09-07	0.531	0.863	11	-3.4989999999999997	0	0.0411	0.000741	0.00011899999999999999	0.21	0.551	132.982	4
561061	4qtif4YRqkU7V1UtDZSHjL	Save ME‐Japanese Ver.‐	44	199667	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-09-07	0.623	0.804	1	-3.705	1	0.0735	0.0498	0.0	0.0903	0.39399999999999996	140.077	4
561065	7oFP6ewu9e7f4Kxm0sClc8	FIRE‐Japanese Ver.‐	44	205373	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-09-07	0.6509999999999999	0.7140000000000001	3	-2.977	0	0.0699	0.00359	0.0	0.125	0.508	99.999	4
561080	3f0t8cRg3hz7nyP9W1k9FD	Butterfly‐Japanese Ver.‐	43	240680	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-09-07	0.319	0.785	1	-4.5489999999999995	1	0.0674	0.025	0.0	0.07400000000000001	0.231	149.02700000000002	4
